SiteID,Species,SnailID,N_trapped
1,Cepaea_nemoralis,1A_Ce,1
1,Cepaea_nemoralis,1B_Ce,9
1,Cepaea_nemoralis,1C_Ce,4
1,Cepaea_nemoralis,1D_Ce,3
1,Cepaea_nemoralis,1E_Ce,1
1,Cepaea_nemoralis,1F_Ce,1
1,Cepaea_nemoralis,1G_Ce,2
1,Cepaea_nemoralis,1H_Ce,7
1,Cepaea_nemoralis,1I_Ce,8
1,Cepaea_nemoralis,1J_Ce,0
1,Cepaea_nemoralis,1K_Ce,12
1,Cepaea_nemoralis,1L_Ce,2
1,Cepaea_nemoralis,1M_Ce,4
1,Cepaea_nemoralis,1N_Ce,21
1,Cepaea_nemoralis,1O_Ce,14
1,Cepaea_nemoralis,1P_Ce,0
2,Cornu_aspersum,2A_Co,9
2,Cornu_aspersum,2B_Co,0
2,Cornu_aspersum,2C_Co,0
2,Cornu_aspersum,2D_Co,3
2,Cornu_aspersum,2E_Co,4
2,Cornu_aspersum,2F_Co,6
2,Cornu_aspersum,2G_Co,8
2,Cornu_aspersum,2H_Co,9
2,Cornu_aspersum,2I_Co,5
2,Cornu_aspersum,2J_Co,3
2,Cornu_aspersum,2K_Co,0
2,Cornu_aspersum,2L_Co,1
2,Cornu_aspersum,2M_Co,0
2,Cornu_aspersum,2N_Co,12
2,Cornu_aspersum,2O_Co,5
2,Cornu_aspersum,2P_Co,15
2,Cornu_aspersum,2Q_Co,4
2,Cornu_aspersum,2R_Co,20
2,Cornu_aspersum,2S_Co,4
2,Cornu_aspersum,2T_Co,1
3,Cornu_aspersum,3A_Co,0
3,Cornu_aspersum,3B_Co,0
3,Cornu_aspersum,3C_Co,0
3,Cornu_aspersum,3D_Co,0
3,Cornu_aspersum,3E_Co,0
3,Cornu_aspersum,3F_Co,0
3,Cornu_aspersum,3G_Co,0
3,Cornu_aspersum,3H_Co,0
3,Cornu_aspersum,3I_Co,0
3,Cornu_aspersum,3J_Co,0
3,Cornu_aspersum,3K_Co,0
3,Cornu_aspersum,3L_Co,0
3,Cornu_aspersum,3M_Co,0
3,Cornu_aspersum,3N_Co,0
3,Cornu_aspersum,3O_Co,0
3,Cornu_aspersum,3P_Co,0
3,Cornu_aspersum,3Q_Co,0
3,Cornu_aspersum,3R_Co,0
3,Cepaea_hortensis,3A_Ce,9
3,Cepaea_hortensis,3B_Ce,23
3,Cepaea_hortensis,3C_Ce,2
3,Cepaea_hortensis,3D_Ce,0
3,Cepaea_hortensis,3E_Ce,1
3,Cepaea_hortensis,3F_Ce,1
3,Cepaea_hortensis,3G_Ce,9
3,Cepaea_hortensis,3H_Ce,2
3,Cepaea_hortensis,3I_Ce,12
3,Cepaea_hortensis,3J_Ce,10
3,Cepaea_hortensis,3K_Ce,6
3,Cepaea_hortensis,3L_Ce,5
3,Cepaea_hortensis,3M_Ce,3
3,Cepaea_hortensis,3N_Ce,14
3,Cepaea_hortensis,3O_Ce,3
4,Cornu_aspersum,4A_Co,0
4,Cornu_aspersum,4B_Co,0
4,Cornu_aspersum,4C_Co,0
4,Cornu_aspersum,4D_Co,0
4,Cornu_aspersum,4E_Co,0
4,Cornu_aspersum,4F_Co,0
4,Cornu_aspersum,4G_Co,0
4,Cornu_aspersum,4H_Co,0
4,Cornu_aspersum,4I_Co,0
4,Cornu_aspersum,4J_Co,0
4,Cornu_aspersum,4K_Co,5
4,Cornu_aspersum,4L_Co,0
4,Cornu_aspersum,4M_Co,27
4,Cornu_aspersum,4N_Co,41
4,Cornu_aspersum,4O_Co,5
4,Cornu_aspersum,4P_Co,0
4,Cornu_aspersum,4Q_Co,9
4,Cornu_aspersum,4R_Co,7
4,Cornu_aspersum,4S_Co,1
4,Cornu_aspersum,4T_Co,0
5,Cornu_aspersum,5A_Co,1
5,Cornu_aspersum,5B_Co,2
5,Cornu_aspersum,5C_Co,2
5,Cornu_aspersum,5D_Co,0
5,Cornu_aspersum,5E_Co,1
5,Cornu_aspersum,5F_Co,0
5,Cornu_aspersum,5G_Co,1
5,Cornu_aspersum,5H_Co,1
5,Cornu_aspersum,5I_Co,18
5,Cornu_aspersum,5J_Co,3
5,Cornu_aspersum,5K_Co,3
5,Cornu_aspersum,5L_Co,0
5,Cornu_aspersum,5M_Co,8
5,Cornu_aspersum,5N_Co,0
5,Cornu_aspersum,5O_Co,2
5,Cornu_aspersum,5P_Co,4
5,Cornu_aspersum,5Q_Co,8
5,Cornu_aspersum,5R_Co,0
5,Cornu_aspersum,5S_Co,0
5,Cornu_aspersum,5T_Co,0
6,Cornu_aspersum,6A_Co,0
6,Cornu_aspersum,6B_Co,0
6,Cornu_aspersum,6C_Co,0
6,Cornu_aspersum,6D_Co,0
6,Cornu_aspersum,6E_Co,4
6,Cornu_aspersum,6F_Co,37
6,Cornu_aspersum,6G_Co,0
6,Cornu_aspersum,6H_Co,0
6,Cornu_aspersum,6I_Co,0
6,Cornu_aspersum,6J_Co,18
6,Cornu_aspersum,6K_Co,6
6,Cornu_aspersum,6L_Co,51
6,Cornu_aspersum,6M_Co,1
6,Cornu_aspersum,6N_Co,1
6,Cornu_aspersum,6O_Co,20
6,Cornu_aspersum,6P_Co,0
6,Cornu_aspersum,6Q_Co,3
6,Cornu_aspersum,6R_Co,22
6,Cornu_aspersum,6S_Co,8
6,Cornu_aspersum,6T_Co,12
6,Cepaea_nemoralis,6A_Ce,6
6,Cepaea_nemoralis,6B_Ce,0
6,Cepaea_nemoralis,6C_Ce,71
6,Cepaea_nemoralis,6D_Ce,13
6,Cepaea_nemoralis,6E_Ce,18
6,Cepaea_nemoralis,6F_Ce,6
6,Cepaea_nemoralis,6G_Ce,5
6,Cepaea_nemoralis,6H_Ce,31
6,Cepaea_nemoralis,6I_Ce,12
6,Cepaea_nemoralis,6J_Ce,9
6,Cepaea_nemoralis,6K_Ce,17
6,Cepaea_nemoralis,6L_Ce,8
6,Cepaea_nemoralis,6M_Ce,1
6,Cepaea_nemoralis,6N_Ce,1
6,Cepaea_nemoralis,6O_Ce,13
6,Cepaea_nemoralis,6P_Ce,19
6,Cepaea_nemoralis,6Q_Ce,10
6,Cepaea_nemoralis,6R_Ce,8
6,Cepaea_nemoralis,6S_Ce,13
6,Cepaea_nemoralis,6T_Ce,7
7,Cornu_aspersum,7A_Co,0
7,Cornu_aspersum,7B_Co,0
7,Cornu_aspersum,7C_Co,0
7,Cornu_aspersum,7D_Co,0
7,Cornu_aspersum,7E_Co,0
7,Cornu_aspersum,7F_Co,0
7,Cornu_aspersum,7G_Co,0
7,Cornu_aspersum,7H_Co,0
7,Cornu_aspersum,7I_Co,0
7,Cornu_aspersum,7J_Co,0
7,Cornu_aspersum,7K_Co,1
7,Cornu_aspersum,7L_Co,0
7,Cornu_aspersum,7M_Co,0
7,Cornu_aspersum,7N_Co,0
7,Cornu_aspersum,7O_Co,0
7,Cornu_aspersum,7P_Co,0
9,Cornu_aspersum,9A_Co,0
9,Cornu_aspersum,9B_Co,4
9,Cornu_aspersum,9C_Co,5
9,Cornu_aspersum,9D_Co,25
9,Cornu_aspersum,9E_Co,0
9,Cornu_aspersum,9F_Co,4
9,Cornu_aspersum,9G_Co,2
9,Cornu_aspersum,9H_Co,1
9,Cornu_aspersum,9I_Co,1
9,Cornu_aspersum,9J_Co,12
9,Cornu_aspersum,9K_Co,13
9,Cornu_aspersum,9L_Co,2
9,Cornu_aspersum,9M_Co,7
9,Cornu_aspersum,9N_Co,25
9,Cornu_aspersum,9O_Co,8
9,Cornu_aspersum,9P_Co,52
9,Cornu_aspersum,9Q_Co,15
9,Cornu_aspersum,9R_Co,1
9,Cornu_aspersum,9S_Co,25
9,Cornu_aspersum,9T_Co,0
10,Cornu_aspersum,10A_Co,60
10,Cornu_aspersum,10B_Co,0
10,Cornu_aspersum,10C_Co,12
10,Cornu_aspersum,10D_Co,14
10,Cornu_aspersum,10E_Co,9
10,Cornu_aspersum,10F_Co,3
10,Cornu_aspersum,10G_Co,25
10,Cornu_aspersum,10H_Co,6
10,Cornu_aspersum,10I_Co,0
10,Cornu_aspersum,10J_Co,10
10,Cornu_aspersum,10K_Co,2
10,Cornu_aspersum,10L_Co,7
10,Cornu_aspersum,10M_Co,27
10,Cornu_aspersum,10N_Co,16
10,Cornu_aspersum,10O_Co,0
10,Cornu_aspersum,10P_Co,6
10,Cornu_aspersum,10Q_Co,10
10,Cornu_aspersum,10R_Co,2
10,Cornu_aspersum,10S_Co,25
10,Cornu_aspersum,10T_Co,16
11,Cornu_aspersum,11A_Co,1
11,Cornu_aspersum,11B_Co,0
11,Cornu_aspersum,11C_Co,0
11,Cornu_aspersum,11D_Co,0
11,Cornu_aspersum,11E_Co,0
11,Cornu_aspersum,11F_Co,0
11,Cornu_aspersum,11G_Co,0
11,Cornu_aspersum,11H_Co,0
11,Cornu_aspersum,11I_Co,0
11,Cornu_aspersum,11J_Co,2
11,Cornu_aspersum,11K_Co,0
11,Cornu_aspersum,11L_Co,7
11,Cornu_aspersum,11M_Co,1
11,Cornu_aspersum,11N_Co,0
11,Cornu_aspersum,11O_Co,0
11,Cornu_aspersum,11P_Co,0
11,Cornu_aspersum,11Q_Co,6
11,Cornu_aspersum,11R_Co,0
11,Cornu_aspersum,11S_Co,2
11,Cornu_aspersum,11T_Co,0
12,Cornu_aspersum,12A_Co,39
12,Cornu_aspersum,12B_Co,17
12,Cornu_aspersum,12C_Co,0
12,Cornu_aspersum,12D_Co,56
12,Cornu_aspersum,12E_Co,15
12,Cornu_aspersum,12F_Co,42
12,Cornu_aspersum,12G_Co,0
12,Cornu_aspersum,12H_Co,13
12,Cornu_aspersum,12I_Co,29
12,Cornu_aspersum,12J_Co,20
12,Cornu_aspersum,12K_Co,25
12,Cornu_aspersum,12L_Co,19
12,Cornu_aspersum,12M_Co,31
12,Cornu_aspersum,12N_Co,57
12,Cornu_aspersum,12O_Co,12
12,Cornu_aspersum,12P_Co,56
12,Cornu_aspersum,12Q_Co,39
12,Cornu_aspersum,12R_Co,50
12,Cornu_aspersum,12S_Co,51
13,Cornu_aspersum,13A_Co,2
13,Cornu_aspersum,13B_Co,1
13,Cornu_aspersum,13C_Co,3
13,Cornu_aspersum,13D_Co,0
13,Cornu_aspersum,13E_Co,0
13,Cornu_aspersum,13F_Co,0
13,Cornu_aspersum,13G_Co,1
13,Cornu_aspersum,13H_Co,1
13,Cornu_aspersum,13I_Co,0
13,Cornu_aspersum,13J_Co,0
13,Cornu_aspersum,13K_Co,11
13,Cornu_aspersum,13L_Co,4
13,Cornu_aspersum,13M_Co,67
13,Cornu_aspersum,13N_Co,0
13,Cornu_aspersum,13O_Co,1
13,Cornu_aspersum,13P_Co,4
13,Cornu_aspersum,13Q_Co,70
13,Cornu_aspersum,13R_Co,0
13,Cornu_aspersum,13S_Co,0
13,Cornu_aspersum,13T_Co,0
14,Cornu_aspersum,14A_Co,0
14,Cornu_aspersum,14B_Co,2
14,Cornu_aspersum,14C_Co,0
14,Cornu_aspersum,14D_Co,22
14,Cornu_aspersum,14E_Co,0
14,Cornu_aspersum,14F_Co,0
14,Cornu_aspersum,14G_Co,26
14,Cornu_aspersum,14H_Co,7
14,Cornu_aspersum,14I_Co,0
14,Cornu_aspersum,14J_Co,27
14,Cornu_aspersum,14K_Co,1
14,Cornu_aspersum,14L_Co,29
14,Cornu_aspersum,14M_Co,1
14,Cornu_aspersum,14N_Co,0
14,Cornu_aspersum,14O_Co,0
14,Cornu_aspersum,14P_Co,1
14,Cornu_aspersum,14Q_Co,2
14,Cornu_aspersum,14R_Co,20
15,Cepaea_nemoralis,15A_Ce,31
15,Cepaea_nemoralis,15B_Ce,9
15,Cepaea_nemoralis,15C_Ce,4
15,Cepaea_nemoralis,15D_Ce,18
15,Cepaea_nemoralis,15E_Ce,59
15,Cepaea_nemoralis,15F_Ce,39
15,Cepaea_nemoralis,15G_Ce,41
15,Cepaea_nemoralis,15H_Ce,4
15,Cepaea_nemoralis,15I_Ce,33
15,Cepaea_nemoralis,15J_Ce,14
15,Cepaea_nemoralis,15K_Ce,75
15,Cepaea_nemoralis,15L_Ce,23
15,Cepaea_nemoralis,15M_Ce,3
15,Cepaea_nemoralis,15N_Ce,63
15,Cepaea_nemoralis,15O_Ce,131
15,Cepaea_nemoralis,15P_Ce,18
15,Cepaea_nemoralis,15Q_Ce,10
15,Cepaea_nemoralis,15R_Ce,46
15,Cepaea_nemoralis,15S_Ce,44
15,Cepaea_nemoralis,15T_Ce,20
16,Cornu_aspersum,16A_Co,6
16,Cornu_aspersum,16B_Co,9
16,Cornu_aspersum,16C_Co,1
16,Cornu_aspersum,16D_Co,17
16,Cornu_aspersum,16E_Co,11
16,Cornu_aspersum,16F_Co,0
16,Cornu_aspersum,16G_Co,3
16,Cornu_aspersum,16H_Co,0
16,Cornu_aspersum,16I_Co,7
16,Cornu_aspersum,16J_Co,0
16,Cornu_aspersum,16K_Co,0
16,Cornu_aspersum,16L_Co,3
16,Cornu_aspersum,16M_Co,0
16,Cornu_aspersum,16N_Co,0
16,Cornu_aspersum,16O_Co,0
16,Cornu_aspersum,16P_Co,0
16,Cornu_aspersum,16Q_Co,0
16,Cepaea_nemoralis,16A_Ce,0
16,Cepaea_nemoralis,16B_Ce,15
16,Cepaea_nemoralis,16C_Ce,0
16,Cepaea_nemoralis,16D_Ce,0
16,Cepaea_nemoralis,16E_Ce,3
16,Cepaea_nemoralis,16F_Ce,0
16,Cepaea_nemoralis,16G_Ce,0
16,Cepaea_nemoralis,16H_Ce,0
16,Cepaea_nemoralis,16I_Ce,0
16,Cepaea_nemoralis,16J_Ce,9
16,Cepaea_nemoralis,16K_Ce,19
16,Cepaea_nemoralis,16L_Ce,5
16,Cepaea_nemoralis,16M_Ce,18
16,Cepaea_nemoralis,16N_Ce,0
16,Cepaea_nemoralis,16O_Ce,5
16,Cepaea_nemoralis,16P_Ce,2
16,Cepaea_nemoralis,16Q_Ce,0
16,Cepaea_nemoralis,16R_Ce,15
17,Cornu_aspersum,17A_Co,0
17,Cornu_aspersum,17B_Co,6
17,Cornu_aspersum,17C_Co,0
17,Cornu_aspersum,17D_Co,6
17,Cornu_aspersum,17E_Co,0
17,Cornu_aspersum,17F_Co,0
17,Cornu_aspersum,17G_Co,0
17,Cornu_aspersum,17H_Co,12
17,Cornu_aspersum,17I_Co,2
17,Cornu_aspersum,17J_Co,0
17,Cornu_aspersum,17K_Co,1
17,Cornu_aspersum,17L_Co,0
17,Cornu_aspersum,17M_Co,6
17,Cornu_aspersum,17N_Co,1
17,Cornu_aspersum,17O_Co,1
17,Cornu_aspersum,17P_Co,7
17,Cornu_aspersum,17Q_Co,3
18,Cornu_aspersum,18A_Co,1
18,Cornu_aspersum,18B_Co,4
18,Cornu_aspersum,18C_Co,3
18,Cornu_aspersum,18D_Co,0
18,Cornu_aspersum,18E_Co,0
18,Cornu_aspersum,18F_Co,14
18,Cornu_aspersum,18G_Co,2
18,Cornu_aspersum,18H_Co,1
18,Cornu_aspersum,18I_Co,0
18,Cornu_aspersum,18J_Co,0
18,Cornu_aspersum,18K_Co,0
18,Cornu_aspersum,18L_Co,0
19,Cornu_aspersum,19A_Co,0
19,Cornu_aspersum,19B_Co,41
19,Cornu_aspersum,19C_Co,6
19,Cornu_aspersum,19D_Co,4
19,Cornu_aspersum,19E_Co,105
19,Cornu_aspersum,19F_Co,16
19,Cornu_aspersum,19G_Co,4
19,Cornu_aspersum,19H_Co,6
19,Cornu_aspersum,19I_Co,61
19,Cornu_aspersum,19J_Co,8
20,Cornu_aspersum,20A_Co,2
20,Cornu_aspersum,20B_Co,0
20,Cornu_aspersum,20C_Co,0
20,Cornu_aspersum,20D_Co,0
20,Cornu_aspersum,20E_Co,26
20,Cornu_aspersum,20F_Co,19
20,Cornu_aspersum,20G_Co,6
20,Cornu_aspersum,20H_Co,9
20,Cornu_aspersum,20I_Co,0
20,Cornu_aspersum,20J_Co,1
20,Cornu_aspersum,20K_Co,4
20,Cornu_aspersum,20L_Co,7
20,Cornu_aspersum,20M_Co,1
20,Cornu_aspersum,20N_Co,0
20,Cornu_aspersum,20O_Co,0
20,Cornu_aspersum,20P_Co,4
